citric acid,residual sugar,pH,sulphates,alcohol,quality
0,1.9,3.51,0.56,9.4,5
0,2.6,3.2,0.68,9.8,5
0.04,2.3,3.26,0.65,9.8,5
0.56,1.9,3.16,0.58,9.8,6
0,1.9,3.51,0.56,9.4,5
0,1.8,3.51,0.56,9.4,5
0.06,1.6,3.3,0.46,9.4,5
0,1.2,3.39,0.47,10,7
0.02,2,3.36,0.57,9.5,7
0.36,6.1,3.35,0.8,10.5,5
0.08,1.8,3.28,0.54,9.2,5
0.36,6.1,3.35,0.8,10.5,5
0,1.6,3.58,0.52,9.9,5
0.29,1.6,3.26,1.56,9.1,5
0.18,3.8,3.16,0.88,9.2,5
0.19,3.9,3.17,0.93,9.2,5
0.56,1.8,3.3,0.75,10.5,7
0.28,1.7,3.11,1.28,9.3,5
0.08,4.4,3.38,0.5,9,4
0.51,1.8,3.04,1.08,9.2,6
0.48,1.8,3.39,0.53,9.4,6
0.31,2.3,3.52,0.65,9.7,5
0.21,1.6,3.17,0.91,9.5,5
0.11,2.3,3.17,0.53,9.4,5
0.14,2.4,3.43,0.63,9.7,6
0.16,1.4,3.34,0.56,9.3,5
0.24,1.8,3.28,0.59,9.5,5
0.21,1.6,3.17,0.91,9.5,5
0,1.9,3.47,0.55,9.4,5
0,2,3.38,0.59,9.8,6
0.07,2.4,3.35,0.54,10.1,5
0,2.5,3.46,0.57,10.6,6
0.12,2.3,3.17,0.66,9.8,5
0.12,10.7,3.45,0.52,9.4,6
0.25,1.8,3.38,0.55,9.2,5
0,5.5,3.4,0.55,9.6,6
0.14,2.4,3.42,0.6,10.8,6
0.28,2.1,3.23,0.73,9.7,7
0.09,1.5,3.5,0.48,9.8,4
0.36,5.9,3.33,0.83,10.5,5
0.36,5.9,3.33,0.83,10.5,5
0.3,2.8,3.26,0.51,9.3,4
0.2,2.6,3.21,0.9,10.5,6
0.22,2.2,3.3,1.2,10.3,5
0.02,1.8,3.48,0.52,9.5,5
0.15,2.1,3.9,0.56,13.1,4
0.43,2.2,3.25,0.73,9.2,5
0.52,1.6,3.25,0.58,9.5,5
0.23,1.6,3.34,0.56,9.2,5
0.37,1.4,3.32,0.58,9.2,5
0.26,1.7,3.15,0.74,9.2,5
0.04,2.2,3.4,0.63,9.4,6
0.04,2.1,3.39,0.64,9.4,6
0.36,3,3.2,0.56,9.4,5
0.15,2.8,3.17,0.63,10.2,6
0.04,3.8,3.34,0.53,9.5,5
0.57,3.4,3.04,0.63,9.6,5
0.12,5.1,3.26,0.77,9.4,5
0.18,2.3,3.43,0.59,10,5
0.31,2.4,3.41,0.54,9.4,6
0.4,2.2,3.44,0.64,9.2,5
0.49,1.8,3.21,0.71,9.3,5
0.16,1.9,3.38,0.62,9.5,7
0.05,2,3.39,0.57,9.8,5
0.05,4.65,3.41,0.39,10.9,5
0.05,4.65,3.41,0.39,10.9,5
0.11,1.5,3.42,0.58,9.6,5
0.07,1.6,3.44,0.58,10.7,5
0.57,2,3.28,0.79,10.7,5
0.05,1.9,3.34,0.95,10.5,6
0.08,1.9,3.32,0.54,9.5,6
0.23,2.1,3.32,0.48,9.5,5
0.22,1.9,3.31,0.48,9.5,5
0.26,2.1,3.31,0.53,9.2,4
0.54,2.5,3.28,0.82,9.6,5
0.64,2.2,3.54,0.66,10.5,5
0.64,2.2,3.54,0.66,10.5,5
0,2.4,3.52,0.55,10.7,6
0.12,2,3.38,0.52,10.1,5
0.2,1.5,3.16,1.12,9.1,4
0.2,1.6,3.41,0.56,9.2,5
0.7,1.9,3.13,1.28,9.4,5
0.47,2,3.36,0.57,9.1,5
0.26,1.8,3.16,1.14,9.4,5
0.48,1.8,3.44,0.78,10.3,6
0.15,2.2,3.41,0.59,10.1,5
0.28,1.9,2.93,1.95,9.9,6
0.26,1.9,3.39,0.64,9.6,5
0.44,2.1,3.14,1.22,9.5,5
0.08,1.8,3.48,0.53,9,5
0.26,1.9,3.23,0.54,9.5,5
0.28,1.9,2.93,1.95,9.9,6
0.29,2,2.93,1.98,9.8,5
0.26,1.9,3.39,0.64,9.6,5
0.04,1.4,3.75,0.48,10.5,4
0.17,2.3,3.85,0.6,12.9,6
0,3,3.45,0.56,10.7,5
0.25,2,3.25,0.63,9.2,5
0.06,2.5,3.39,0.56,9.8,5
0.18,1.9,3.3,0.59,9,6
0.3,2.1,3.4,0.61,10.2,6
0.3,1.9,3.31,0.56,10.4,6
0.18,1.9,3.3,0.59,9,6
0.22,2.1,3.29,0.51,9.2,5
0.24,2.2,3.33,0.48,9.4,5
0.22,2.1,3.29,0.51,9.2,5
0.68,1.7,3.08,1.31,9.3,5
0.31,1.7,3.46,0.79,9.3,5
0.53,2.5,3.37,0.8,9.6,6
0.52,2,3.21,0.69,9.3,5
0.19,1.8,3.19,0.93,9.5,5
0.09,2.2,3.15,0.66,9.8,5
0.1,2.2,3.15,0.66,9.8,5
0.44,2.3,3.32,0.67,9.7,6
0.19,1.8,3.19,0.93,9.5,5
0.31,2.2,3.07,0.63,10.5,6
0.28,1.9,3.39,0.61,10,6
0.12,2,3.37,0.5,9.4,6
0.04,2.2,3.21,0.6,10.9,6
0.08,1.8,3.34,0.54,9.2,6
0.09,1.7,3.3,0.57,9,5
0.04,2.2,3.21,0.6,10.9,6
0,2.5,3.49,0.52,9.2,5
0,2.6,3.44,0.53,9.5,5
0.17,1.6,3.39,0.48,9.5,5
0.04,1.9,3.16,0.7,9.4,5
0,1.7,3.53,0.49,10.9,5
0,1.8,3.54,0.48,10.9,5
0.16,1.8,3.42,0.92,10.5,7
0.15,1.8,3.42,0.57,9.4,5
0.56,2,3.24,0.66,9.4,5
0.09,2.3,3.63,0.63,13,5
0.09,2.3,3.63,0.63,13,5
0.01,1.5,3.4,0.58,9.8,6
0.05,2.2,3.22,0.55,9.9,6
0.11,1.9,3.19,0.82,9.6,5
0.15,1.8,3.23,0.77,9.5,5
0.36,2,3.48,0.64,9.2,5
0.19,2.1,3.33,0.54,9.5,5
0.19,2,3.32,0.54,9.5,5
0.11,1.9,3.19,0.82,9.6,5
0.15,1.8,3.23,0.77,9.5,5
0,1.8,3.68,0.79,14,6
0.08,1.7,3.34,0.58,9.4,5
0,1.8,3.68,0.79,14,6
0.55,1.8,3.17,0.62,9.4,5
0.02,1.8,3.54,0.52,10,5
0.26,1.6,3.11,0.8,9.3,5
0.1,2.3,3.42,0.58,10.2,6
0.44,2.8,3.53,0.61,10.5,6
0.47,2.1,3.33,0.53,10.3,6
1,3.4,2.74,2,9.4,4
0.03,1.8,3.35,0.54,10.1,5
0.03,1.8,3.35,0.54,10.1,5
0.42,5.5,3.42,0.72,10.5,5
0.42,5.5,3.42,0.71,10.5,5
0.42,5.5,3.42,0.72,10.5,5
0.42,5.5,3.42,0.71,10.5,5
0,2.2,3.48,0.5,9.3,5
0.18,1.9,3.59,0.57,9.3,6
0.03,2,3.2,0.56,9.6,5
0.02,1.3,3.17,1.08,9.2,4
0.04,1.7,3.33,0.56,10,6
0.26,7.3,3.37,0.49,9.4,5
0.26,7.2,3.37,0.49,9.4,5
0.48,1.7,3.19,0.62,9.5,5
0.1,2.1,3.34,0.52,10.2,5
0.03,1.6,3.37,0.48,9,4
0.07,2.1,3.47,0.55,10.4,6
0.24,1.8,3,1.59,9.5,5
0.03,1.8,3.36,0.33,9.1,4
0.17,2,3.29,0.61,9.2,6
0.17,2,3.29,0.61,9.2,6
0.05,1.9,3.42,0.57,11.5,6
0.21,2,3.33,0.47,9.5,5
0.04,1.5,3.35,0.78,9.5,5
0.21,2,3.33,0.47,9.5,5
0.42,2.3,3.58,0.61,10.5,6
0,2.5,3.48,0.56,9.6,5
0.14,2.4,3.19,0.59,9.5,5
0.14,2.4,3.19,0.59,9.5,5
0.49,2,3.12,1.02,9.3,5
0.02,2.5,3.44,0.52,9.3,5
0.2,1.8,3.54,0.58,9.3,5
0.21,1.9,3.52,0.58,9.3,6
0.57,2,3.26,0.53,9.7,5
0.48,2,3.34,0.55,9.2,5
0.1,2.6,3.39,0.49,9.7,5
0.33,2,3.2,0.55,9.5,5
0.32,1.9,3.2,0.55,9.5,5
0.35,2.9,3.23,0.62,9.4,5
0.25,1.9,3.57,0.62,9.8,6
0.12,3.8,3.28,0.61,9.5,5
0.21,2.2,3.28,0.55,9.7,5
0.21,2.2,3.28,0.55,9.7,5
0.33,2,3.25,0.54,9.4,5
0.3,2.4,3.46,0.59,10.2,5
0.6,2,3.11,0.97,10.1,6
0.08,1.2,3.57,0.85,13,7
0.06,2.1,3.51,0.43,11.4,4
0.47,1.4,3.22,0.82,10.3,7
0.48,2.1,3.04,1.03,9.3,5
0.11,1.5,3.36,0.79,9.5,5
0.35,1.6,3.34,0.55,9.2,5
0.36,1.6,3.34,0.56,9.2,6
0.74,2.6,3.2,0.77,10.8,7
0.74,2.6,3.2,0.77,10.8,7
0.31,1.8,3.29,0.53,9.3,5
0.28,2.7,3.22,0.67,9.4,5
0.58,2.1,3.31,0.88,10.5,7
0.6,2,3.3,0.86,12.4,6
0.24,2.8,3.35,0.56,10,6
0.64,2.1,3.21,0.67,10.2,6
0.26,2.2,3.3,0.43,10.1,5
0.08,2.4,3.24,0.71,9.8,6
0.49,5.6,3.34,0.76,10.5,5
0.16,2,3.14,0.57,11,5
0.22,2.2,3.36,0.55,9.1,5
0.19,1.9,3.39,0.54,9.7,5
0.33,2.4,3.3,0.6,9.5,5
0.37,2,3.34,0.59,9.4,6
0.26,2,3.15,0.57,9.4,5
0.04,1.5,3.42,0.6,9.5,5
0.25,2,3.28,0.6,10,6
0.36,2,3.31,0.57,10.4,4
0.25,2.6,3.37,0.58,10.5,6
0.5,2,3.04,1.61,9.5,6
0.14,2.6,3.39,0.63,9.8,5
0.25,2.6,3.37,0.58,10.5,6
0.25,2.6,3.46,0.5,11,5
0.04,1.6,3.54,0.62,12.2,7
0.06,1.8,3.37,0.52,9.9,6
0.2,2.8,3.34,0.7,9.6,6
0.25,2.6,3.46,0.5,11,5
0.09,2.3,3.32,0.55,9,6
0,1.9,3.37,0.58,9,6
0,1.9,3.37,0.58,9,6
0,1.9,3.37,0.58,9.2,6
0,1.9,3.37,0.58,9,6
0.09,2.3,3.32,0.55,9,6
0.37,1.7,3,1.09,9.3,5
0.56,2.1,3.14,0.71,10.9,6
0.1,1.8,3.08,0.49,9.8,6
0.44,2.2,3.07,0.84,9.2,7
0.44,2.2,3.07,0.84,9.2,7
0,2,3.61,0.96,9.9,6
0.07,1.9,3.38,0.52,9.5,5
0.17,2.3,3.2,0.45,9.3,5
0.06,1.7,3.35,0.48,9.8,6
0,2,3.61,0.96,9.9,6
0.44,1.6,3.22,0.78,10,6
0,1.8,3.47,0.7,9.9,6
0.48,3.1,3.17,0.53,10.5,5
0.42,1.9,3.23,0.59,9.5,5
0,1.8,3.47,0.7,9.9,6
0.23,3.2,3.26,0.57,9.3,5
0.37,2.2,3.22,0.62,9.2,5
0,2.1,3.49,0.67,9.2,5
0.76,1.8,3.06,1.26,9.4,5
0.47,2.6,3.36,0.8,10.5,7
0.23,1.7,3.29,0.65,9.3,5
0.04,2,3.35,0.6,9.4,4
0.03,1.7,3.34,0.57,10,5
0.23,1.8,3.28,0.67,9.3,5
0.49,2.4,3.08,0.87,10.9,5
0.52,1.8,3.2,0.72,10.2,7
0,3.3,3.6,0.72,9.8,4
0.46,3.6,3.35,0.86,12.8,8
0.04,3,3.69,0.91,9.4,6
0.51,4,3.28,0.97,10.1,6
0.06,4,3.36,0.67,10.7,6
0.51,4,3.28,0.97,10.1,6
0.58,4,3.22,0.78,10.1,5
0.2,2.4,3.31,0.64,9.4,5
0.18,7,3.38,0.77,9.4,5
0.06,4,3.36,0.67,10.7,6
0.04,3,3.69,0.91,9.4,6
0.51,4,3.28,0.97,10.1,6
0.45,6.4,3.23,0.82,12.6,8
0.32,5.6,3.38,0.77,10.5,7
0.44,3.6,3.12,0.82,9.3,6
0.68,3.5,3.25,1.08,9.9,7
0.12,3,3.36,0.57,9.1,5
0.32,5.6,3.38,0.77,10.5,7
0.07,3.4,3.31,0.71,9.8,5
0.07,3.4,3.31,0.71,9.8,5
0.55,2,3.1,0.76,10.3,6
0.12,3,3.37,0.7,10.3,6
0.09,2.5,3.34,0.86,10.6,7
0.53,3.3,3.2,0.95,9.2,5
0.09,2.5,3.34,0.86,10.6,7
0.48,2,3.3,0.71,10.5,5
0.23,2.7,3.22,0.64,10.3,6
0.25,2.4,3.41,0.6,10.1,6
0.52,3.2,3.05,0.81,9.5,6
0.46,2.5,3.05,0.64,9.5,5
0.37,2.6,3.16,0.52,9.9,5
0.06,2,3.67,0.73,9.6,5
0.02,2.3,3.67,0.8,9.7,5
0.06,2.1,3.68,0.71,9.6,5
0.06,2.6,3.38,0.59,10.7,6
0.48,1.5,3.22,0.64,10.1,6
0.12,2.6,3.51,0.72,10,5
0.12,1.6,3.39,0.54,9.5,5
0.6,2.1,3.2,0.52,9.2,5
0.48,2.5,3.12,0.59,9.3,6
0.32,2.2,3.36,0.52,9.4,5
0.42,2.4,3.19,0.62,9.5,6
0.44,2.4,3.19,0.63,9.5,6
0.38,1.7,3.41,0.53,9.5,6
0.48,2.5,3.12,0.59,9.3,6
0.24,2,3.27,0.54,9.4,6
0.31,2.8,3.32,0.63,9.5,6
0.3,3,3.3,0.53,9.4,5
0.29,2.6,3.39,0.68,11,5
0.29,2.5,3.42,0.65,11,6
0.23,3.4,3.3,0.65,10.1,5
0.12,2.9,3.3,0.64,10.4,6
0.39,3.2,3.37,0.71,11.5,7
0.12,2.9,3.3,0.64,10.4,6
0.39,3.2,3.37,0.71,11.5,7
0.26,3.4,3.24,0.62,9.7,5
0.05,2.3,3.29,0.63,9.3,5
0.42,2.8,3.28,0.7,9.5,6
0.2,11,3.16,0.69,9.2,6
0.2,11,3.16,0.69,9.2,6
0.66,3.65,3.05,0.74,11.5,7
0.5,4.5,3.28,0.83,11.5,5
0.62,2.6,3.16,0.67,9.7,6
0.39,2,3.18,0.62,9.5,5
0.64,2.9,3.23,0.66,12.5,6
0.64,2.9,3.23,0.66,12.5,6
0.28,3.2,3.22,0.54,9.4,6
0.08,2.1,3.13,0.52,11,5
0.01,2.5,3.34,0.74,11.7,7
0.53,3.4,3.17,0.84,12.2,7
0.45,1.9,3.35,0.7,12.5,6
0.32,2.8,3.31,0.64,10.3,5
0.58,3,3.16,1,11.5,6
0.54,2.3,3.11,1.36,9.8,7
0.5,2.4,3.12,1.18,9.2,6
0.48,2.7,3.21,0.87,11.3,6
0.47,1.8,3.3,0.75,9.8,6
0.47,1.8,3.3,0.75,9.8,6
0.5,2.6,3.12,0.78,10.7,6
0,1.9,3.6,0.81,9.9,5
0.02,2.7,3.58,0.89,12.3,7
0.67,3,3.02,0.93,12,6
0.31,2.8,3.11,0.92,10,6
0,2.6,3.36,0.86,9.4,6
0.22,2.7,3.28,0.98,9.9,6
0,2.6,3.35,0.83,9.4,6
0,2.4,3.27,0.73,9.3,5
0.79,4.8,3.18,0.77,13,5
0.4,1.4,3.25,0.59,11.9,6
0.01,2.4,3.55,0.61,12.8,6
0.52,3,3.26,0.88,11,5
0.66,2.95,3.24,0.75,11.7,7
0.66,3.1,3.15,0.85,10.4,7
0.66,2.6,3.17,0.68,9.8,6
0.23,2,3.19,0.7,9.4,5
0.31,2.6,3.37,0.91,9.9,6
0.66,2.5,3.05,0.56,10,5
0.63,2,2.99,0.87,10.2,5
0.66,5.8,3.07,0.73,10,7
0.5,3.4,3.26,0.93,11.8,6
0.66,5.8,3.07,0.73,10,7
0.61,2.6,3.16,0.69,9,5
0.52,2.8,3.18,0.64,9.4,5
0.53,2.4,3.2,1.13,12,7
0.02,2.3,3.57,0.78,9.9,5
0.4,1.6,3.32,0.87,8.7,6
0.48,1.8,3.32,1.04,10.6,6
0.22,2.2,3.05,0.63,9.2,5
0.63,3.8,3.01,0.81,10.8,6
0.71,4.4,3.01,0.83,11.8,7
0.5,3,3.26,1.11,11,6
0.53,2.4,3.2,1.13,12,7
0.66,6.2,3.11,0.99,13.3,6
0.38,2.5,3.31,0.7,10.8,6
0.42,2,3.21,0.8,9.4,6
0.68,2.9,3.06,0.8,10,6
0.42,2,3.21,0.8,9.4,6
0.42,2,3.21,0.8,9.4,6
0.28,2.1,3.42,0.74,9.2,5
0.07,2.4,3.43,0.76,9.7,6
0.26,2,3.41,0.74,9.2,6
0.15,1.9,3.31,0.54,9.6,6
0.26,1.9,3.43,0.74,9.2,6
0.31,2.5,3.19,0.7,10,7
